disease,risk_tolerance,severity_basis,confidence
1mg Vs 3 mg of Granisetron,10,dose comparison of antiemetic; supportive-care setting not a severe disease,med
ACE inhibitor-induced angioedema,45,can cause life-threatening airway swelling but usually self-limited,med
AL Amyloidosis,85,progressive multiorgan deposition with high mortality especially cardiac involvement,high
ALOPECIA AREATA,10,benign non-life-threatening autoimmune hair loss,high
AML; MDS; CMML,90,acute leukemia and high-risk myeloid neoplasms rapidly fatal untreated,high
Abdominal Aortic Aneurysms,75,risk of fatal rupture,high
Abdominal Cancer,85,active malignancy with high mortality,med
Acetabular Fractures,25,serious orthopedic injury but not lethal,med
Acetaminophen; Drug Overdose; Acetaminophen Overdose; Acetaminophen Poisoning; Drug-induced Liver Injury; Liver Failure; Liver Toxicity,90,acute liver failure can be rapidly fatal,high
Acne,5,benign cosmetic skin condition,high
Active Dermatomyositis,60,inflammatory myopathy with possible organ and respiratory involvement,med
Acute Abdominal Pain,30,symptom that may signal serious surgical pathology,low
Acute Coronary Syndrome,80,high acute cardiac mortality,high
Acute Coronary Syndrome; Percutaneous Coronary Intervention,80,high acute cardiac mortality,high
Acute Coronary Syndrome; Unstable Angina,80,high acute cardiac mortality,high
Acute Coronary Syndromes,80,high acute cardiac mortality,high
Acute Hematogenous Osteomyelitis,55,serious bone infection that can become systemic,med
Acute Ischaemic Stroke; Transient Ischaemic Attack,80,acute stroke causes death and severe disability,high
Acute Ischemic Stroke,80,acute stroke causes death and severe disability,high
Acute Kidney Injury; Exercise-associated Hyponatremia; Perceived Exertion,70,AKI and severe hyponatremia can be life-threatening,med
Acute Leukemia,90,rapidly fatal untreated,high
Acute Lymphoblastic Leukemia,90,rapidly fatal untreated leukemia,high
Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,90,rapidly fatal untreated leukemia,high
Acute Mountain Sickness,25,usually self-limited but can progress to cerebral/pulmonary edema,med
Acute Musculoskeletal Disease; Sprains; Sprains and Strains; Injuries; Emergencies; Trauma; Acute Pain,15,minor musculoskeletal injury and acute pain,med
Acute Myelogenous Leukemia,90,rapidly fatal untreated leukemia,high
Acute Myeloid Leukemia,90,rapidly fatal untreated leukemia,high
Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia,90,acute leukemia rapidly fatal untreated,high
Acute Myocardial Infarction,80,high acute cardiac mortality,high
Acute Myocardial Infarction; Heart Failure,82,acute MI plus heart failure high mortality,high
Acute Myocardial Infarction; Left Ventricular Thrombosis; Anticoagulants and Bleeding Disorders,80,acute MI with thrombotic complications high mortality,high
Acute Pain,10,bothersome symptom not life-threatening,high
Acute Pain Due to Trauma,15,acute pain from injury not lethal in itself,med
Acute Pain; Ambulances,12,prehospital acute pain symptom,med
Acute Pain; Post Operative Pain; Pain,8,post-operative and acute pain symptomatic,high
Acute Post-op Pain,8,post-operative pain symptomatic and self-limited,high
Acute Post-operative Pain; Chronic Post Operative Pain; Narcotic Use; Opioid Use; Opioid Addiction,30,opioid addiction carries overdose mortality risk,med
Acute ST Segment Elevation Myocardial Infarction; Thrombolysis in Myocardial Infarction Flow,82,STEMI high acute cardiac mortality,high
Acute Traumatic Pain,15,acute pain from trauma not lethal in itself,med
Acute Upper Gastrointestinal Bleeding,75,acute hemorrhage can be rapidly fatal,high
Acute Urticaria,10,usually self-limited allergic reaction,high
Adenocarcinoma of the Pancreas; Advanced Solid Tumors; Cancer; Cancer of Pancreas; Cancer of the Pancreas; Metastases; Metastatic Cancer; Metastatic Pancreatic Cancer; Pancreas Cancer; Pancreatic Cancer; Bone Metastases; Endocrine Cancer; Oncology; Oncology Patients; Solid Tumors; Advanced Malignancy,95,metastatic pancreatic cancer rapidly fatal,high
Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,93,unresectable pancreatic cancer very high mortality,high
Adult T-Cell Leukemia,90,aggressive leukemia/lymphoma high mortality,high
Adults and Children With Pulmonary Fibrosis,80,progressive fibrosis with respiratory failure and high mortality,high
Advance Melanoma,90,advanced melanoma high mortality,high
Advanced BRAFV600 Wild-type Melanoma,90,advanced melanoma high mortality,high
Advanced Breast Cancer,85,advanced/metastatic breast cancer high mortality,high
Advanced Cancer,90,advanced malignancy high mortality,high
Advanced Cervical Cancer,85,advanced cervical cancer high mortality,high
Advanced Colorectal Cancer,85,advanced colorectal cancer high mortality,high
Advanced Endometrial Cancer,82,advanced endometrial cancer high mortality,high
Advanced Esophageal Cancer,90,advanced esophageal cancer very poor prognosis,high
Advanced Gastric Adenocarcinoma,88,advanced gastric cancer high mortality,high
Advanced Gastric Cancer,88,advanced gastric cancer high mortality,high
Advanced Hepatocellular Carcinoma,90,advanced liver cancer very poor prognosis,high
Advanced Lung Cancer,90,advanced lung cancer high mortality,high
Advanced Melanoma,90,advanced melanoma high mortality,high
Advanced Non-Squamous Non-Small Cell Lung Cancer,90,advanced NSCLC high mortality,high
Advanced Pancreatic Cancer,93,advanced pancreatic cancer rapidly fatal,high
Advanced Rectal Cancer,85,advanced rectal cancer high mortality,high
Advanced Rectal Carcinoma,85,advanced rectal cancer high mortality,high
Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer,90,advanced solid tumors high mortality,high
Advanced Solid Tumors,90,advanced solid tumors high mortality,high
Aging; Insulin Sensitivity; Chronic Disease; Mitochondria; Insulin Resistance,20,metabolic/aging phenotype not acutely life-threatening,low
Alcohol Dependence,40,chronic disorder with significant long-term morbidity and mortality,med
Alcohol Use Disorder,40,chronic disorder with significant long-term morbidity and mortality,med
Alcoholic Hepatitis,75,severe alcoholic hepatitis high short-term mortality,high
Alcoholic Hepatitis; Alcoholic Liver Disease,75,severe alcoholic hepatitis high short-term mortality,high
Alcoholism,40,chronic disorder with long-term morbidity and mortality,med
Alopecia Areata,10,benign non-life-threatening hair loss,high
Alopecia Areata; Alopecia Totalis; Alopecia Universalis,10,benign non-life-threatening hair loss,high
Altitude Sickness,25,usually self-limited but can progress to edema,med
Alzheimer Disease,60,progressive fatal neurodegeneration over years,high
Alzheimer disease,60,progressive fatal neurodegeneration over years,high
Alzheimer's Disease,60,progressive fatal neurodegeneration over years,high
Alzheimer's disease biomarker measurement,55,biomarker study in fatal neurodegenerative disease,med
Ambulatory Cancer,80,active cancer high mortality,med
