gene,physiological_process,rationale
SLC5A2,renal_glucose_reabsorption;plasma_volume_homeostasis;atherothrombotic_cardiometabolic,"SGLT2 reabsorbs filtered glucose in proximal tubule; inhibition causes glucosuria + osmotic natriuresis/volume contraction. Human LoF (familial renal glucosuria) is benign with no exercise/cardiac phenotype. SGLT2i reduce MACE/HF-hospitalisation (EMPA-REG/DECLARE/EMPEROR) = a validated cardiometabolic event-reduction axis."
ATP4A,gastric_acid_secretion,"H+/K+-ATPase alpha subunit = the gastric proton pump; sole role is parietal-cell acid secretion."
ATP4B,gastric_acid_secretion,"H+/K+-ATPase beta subunit; gastric acid secretion."
MT-ND1,cellular_energy_metabolism,"Mitochondrial complex I subunit; metformin partial inhibition raises AMP/ATP -> AMPK."
PRKAB1,cellular_energy_metabolism;hepatic_glucose_metabolism,"AMPK beta1; energy-sensing, suppresses hepatic gluconeogenesis."
ADORA1,cns_arousal;vascular_tone,"Adenosine A1 receptor; caffeine antagonism -> wakefulness, vasoconstriction."
ADORA2A,cns_arousal;vascular_tone,"Adenosine A2A receptor; arousal, vasodilation."
ADORA2B,vascular_tone,"Adenosine A2B; vascular/inflammatory."
ADORA3,vascular_tone,"Adenosine A3."
AR,androgen_signaling;skeletal_muscle_mass,"Androgen receptor; anabolic on muscle MASS (hypertrophy), distinct from oxidative/aerobic capacity."
FGFR1,fibrosis_progression;angiogenesis,"Nintedanib blocks FGFR -> antifibrotic (fibroblast proliferation) + antiangiogenic."
PDGFRA,fibrosis_progression,"PDGFR drives fibroblast proliferation/myofibroblast activation; core antifibrotic axis."
KDR,angiogenesis;fibrosis_progression,"VEGFR2; antiangiogenic + contributes to antifibrotic effect."
AVPR2,urine_concentration;renal_hemodynamics;vasopressin_cystogenesis,"Vasopressin V2 receptor; sets urine concentration AND drives cyst-epithelial cAMP -> the validated rate-limiting driver of ADPKD cyst growth (tolvaptan)."
AGTR1,renal_hemodynamics;vascular_tone,"Angiotensin-II type-1 receptor; modulates renal plasma flow / efferent arteriolar tone and systemic vascular tone."
CLCN2,intestinal_fluid_secretion,"Lubiprostone activates intestinal apical Cl- secretion (ClC-2/CFTR) -> luminal fluid -> motility."
ADRA1A,bladder_smooth_muscle_tone;vascular_tone,"Alpha-1A adrenoceptor dominates bladder-neck/prostatic smooth muscle tone; blockade relieves outlet obstruction."
ADRA1D,bladder_smooth_muscle_tone;vascular_tone,"Alpha-1D adrenoceptor; bladder/detrusor and vascular tone."
SLC18A2,vesicular_monoamine_transport,"VMAT2 loads monoamines into synaptic vesicles; inhibition depletes presynaptic dopamine release (treats hyperkinetic movement), NOT postsynaptic D2 psychosis signalling."
NR3C2,mineralocorticoid_signaling;plasma_volume_homeostasis,"Mineralocorticoid receptor; Na/water retention, cardiac/renal remodelling."
TACR3,thermoregulation_vasomotor,"NK3 receptor (KNDy neurons) directly drives hypothalamic thermoregulatory vasomotor flushes."
CHRM3,airway_smooth_muscle_tone;bladder_smooth_muscle_tone,"M3 muscarinic receptor mediates airway (and detrusor) smooth-muscle contraction; antagonists (LAMA) bronchodilate -> FEV1."
CHRM1,airway_smooth_muscle_tone,"M1 muscarinic; contributes to cholinergic airway tone (anticholinergic bronchodilation)."
ADRB2,airway_smooth_muscle_tone,"Beta-2 adrenoceptor mediates airway smooth-muscle relaxation; agonists (SABA/LABA) bronchodilate -> FEV1."
NR3C1,airway_inflammation;systemic_inflammation,"Glucocorticoid receptor; inhaled/systemic corticosteroids suppress airway and systemic inflammation."
CFTR,airway_epithelial_ion_transport,"CFTR chloride channel; modulators (ivacaftor/lumacaftor) restore airway-surface ion/fluid transport -> CF FEV1."
EDNRA,pulmonary_vascular_tone;vascular_tone,"Endothelin-A receptor drives pulmonary (and systemic) vasoconstriction; antagonists (bosentan/macitentan/ambrisentan) lower PVR in PAH."
EDNRB,pulmonary_vascular_tone;vascular_tone,"Endothelin-B receptor; dual ERAs lower pulmonary vascular tone in PAH."
PDE5A,pulmonary_vascular_tone;vascular_tone,"PDE5 inhibition (sildenafil/tadalafil) raises cGMP -> pulmonary vasodilation in PAH."
PTGIR,pulmonary_vascular_tone,"Prostacyclin (IP) receptor agonists (selexipag/epoprostenol) cause pulmonary vasodilation in PAH."
GUCY1A2,pulmonary_vascular_tone,"Soluble guanylate cyclase (riociguat) -> cGMP -> pulmonary vasodilation in PAH/CTEPH."
ADRB1,cardiac_contractile_function;cardiac_chronotropy;hemodynamic_perfusion,"Beta-1 adrenoceptor; beta-blockade reduces contractility/rate; beta-agonism (dobutamine) raises cardiac output/perfusion. NOT an airway lever."
