disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
Type 2 Diabetes,22,22,25,high,"T2D: objective HbA1c lab endpoint, small placebo drift"
hepatitis C virus infection,15,18,20,high,"HCV: objective SVR (virologic cure) endpoint, minimal placebo"
Type 2 Diabetes Mellitus,22,22,25,high,"T2D: objective HbA1c endpoint, small placebo drift"
Lung Cancer,15,20,22,high,"Lung cancer: objective OS/PFS/ORR endpoints, minimal placebo"
Rheumatoid Arthritis,40,55,52,high,"RA: ACR20/DAS28 composite with patient-reported components, moderate placebo (~25%)"
Major Depressive Disorder,78,88,90,high,"MDD: web-verified placebo response ~31%, HAM-D placebo improvement ~8pts; subjective rating scale"
Breast Cancer,15,20,22,high,"Breast cancer: objective survival/response endpoints, minimal placebo"
COVID-19,28,30,35,high,"COVID-19: mostly objective endpoints (hospitalization/viral clearance/mortality), variable natural history"
Chronic Obstructive Pulmonary Disease,40,48,50,high,"COPD: spirometry + exacerbation/symptom endpoints, moderate placebo"
Pain,75,90,88,high,"Pain: large placebo analgesia, subjective VAS/NRS endpoint"
Prostate Cancer,15,20,22,high,"Prostate cancer: objective survival/PSA/imaging endpoints, minimal placebo"
epilepsy,40,45,48,high,"Epilepsy: seizure-frequency (semi-objective, diary-based), notable placebo"
Multiple Myeloma,18,22,24,high,"Multiple myeloma: objective response/PFS/MRD endpoints, minimal placebo"
Acute Myeloid Leukemia,18,22,24,high,"AML: objective remission/survival endpoints, minimal placebo"
Multiple Sclerosis,38,52,50,high,"MS: relapse rate/MRI (objective) + EDSS (semi-subjective), moderate placebo"
cystic fibrosis,28,35,38,high,"CF: objective FEV1/sweat-chloride endpoints, low-moderate placebo"
schizophrenia,50,78,70,high,"Schizophrenia: moderate placebo, clinician-rated PANSS/BPRS subjective scale"
migraine,60,80,78,high,"Migraine: web-verified placebo ~21-29% responder, headache-diary endpoint"
HIV infection,15,18,20,high,"HIV: objective viral-load suppression endpoint, minimal placebo"
Depression,78,88,90,high,"Depression: high placebo (~30-40%), subjective symptom-rating endpoint"
anemia,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
pain,75,90,88,high,"Pain: large placebo analgesia, subjective VAS/NRS endpoint"
asthma,40,50,50,high,"Asthma: FEV1 (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
Metastatic Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Diabetes,22,22,25,high,"Diabetes: objective HbA1c biomarker endpoint, small placebo drift"
HIV-1 infection,15,18,20,high,"HIV-1: objective virologic endpoint, minimal placebo"
Hypercholesterolemia,18,18,22,high,"Hypercholesterolemia: objective LDL-C lab endpoint, minimal placebo"
