disease,mortality_1y,mortality_5y,source,confidence
hepatitis C virus infection,1.0,4.0,"Chronic HCV slow progression; liver-specific case fatality ~0.3-1% over ~5y, all-cause modestly elevated (systematic review, PubMed 26256890; PMC8268172 cohort)",medium
Type 2 Diabetes,1.4,7.0,~1.4 deaths/100 person-years all-cause in T2D cohorts (PMC6079498); ADA Diabetes Care life-expectancy cohort,high
Type 2 Diabetes Mellitus,1.4,7.0,~1.4 deaths/100 person-years all-cause in T2D cohorts (PMC6079498); ADA Diabetes Care life-expectancy cohort,high
Lung Cancer,50.0,72.0,"SEER all-stage: 1y relative survival ~50%, 5y relative survival ~28% (ACS/SEER lung cancer stat facts)",high
Rheumatoid Arthritis,1.5,8.0,RA all-cause SMR ~1.5-2.2 vs general population (PubMed 36919770; Springer cohort) applied to background mortality,medium
Breast Cancer,3.0,9.0,SEER female breast cancer all-stage 5y relative survival 91% -> 9% (seer.cancer.gov/statfacts/html/breast.html); 1y ~97%,high
Major Depressive Disorder,1.0,6.0,"MDD all-natural-cause SMR ~1.5 (PMC); 5y mortality rises with age, near-term elevated post-diagnosis (PMC12434377)",medium
COVID-19,1.0,1.0,Acute illness; overall IFR ~0.7-1% (WHO; PMC7947934 seroprevalence). 1y~=5y as deaths occur in acute phase,high
Chronic Obstructive Pulmonary Disease,4.0,25.0,COPD 5y mortality ~25% (Korean nationwide cohort PMC7879613); total ~27-39/1000 PY -> ~3-4% 1y,high
Prostate Cancer,1.0,2.0,SEER prostate cancer all-stage 5y relative survival 98% -> 2% (ACS/SEER); 1y ~99%,high
Acute Myeloid Leukemia,50.0,68.0,SEER AML 5y relative survival ~31.7% -> 68% (seer.cancer.gov/statfacts/html/amyl.html); 1y survival ~50% overall,high
Pain,0.5,3.0,"Symptom, not a disease; non-specific. Set low per instructions for pain/chronic-low-lethality strings",low
Multiple Myeloma,7.0,38.0,SEER multiple myeloma 5y relative survival ~62% -> 38% (ACS/SEER); 1y ~93%,high
epilepsy,2.0,10.0,"Epilepsy SMR ~2-2.6; annual all-cause ~20/1000 PY (ILAE; PMC11937074); ~2% 1y, ~10% 5y",medium
Multiple Sclerosis,0.5,3.0,MS SMR ~1.5 overall (PubMed 34820847); excess mortality mild in first years (PLOS One 27603-pt French cohort),medium
Metastatic Breast Cancer,22.0,67.0,SEER distant-stage breast cancer 5y relative survival ~32.6% -> 67% (NCI SEER); 1y distant ~75-80%,high
cystic fibrosis,1.0,6.0,CF 5y observed mortality ~6% standard care (PMC10096446); median predicted survival ~50+ yrs (CF Foundation),high
schizophrenia,2.0,10.0,Schizophrenia all-cause SMR ~5; ~9.6% died over 5y in 99k China community cohort (PMC10288468),medium
Depression,1.0,6.0,"Depression all-natural-cause SMR ~1.5; near-term elevated, rises with age (PMC12434377 meta-analysis)",medium
migraine,0.0,1.0,Low-lethality chronic condition; no meaningful direct mortality excess (population neurology data),medium
HIV infection,1.0,6.0,Treated HIV modern era ~10-16 deaths/1000 PY (PMC4504463; Lancet HIV 2023); life expectancy near-normal on ART,high
pain,0.5,3.0,"Symptom, not a disease; non-specific. Set low per instructions for pain/chronic-low-lethality strings",low
asthma,0.1,1.0,"Asthma-specific mortality ~1/100,000/yr (CDC WONDER); all-cause HR ~1.4 but absolute low (PMC7809422)",high
anemia,2.0,10.0,Anemia is a marker of underlying disease; elevated all-cause mortality in cohorts esp. elderly (PMC11493523 ARIC; Springer 9y cohort),low
Hypercholesterolemia,0.5,3.0,"Asymptomatic risk factor; minimal direct short-term mortality, modest CV excess over years",medium
Parkinson's Disease,4.0,22.0,"PD SMR ~2; ~43-75 deaths/1000 PY first 5y, ~36% over 5.2y in older cohort (MDS Wiley 28727); use ~22% 5y",medium
Ovarian Cancer,25.0,48.0,SEER ovarian cancer all-stage 5y relative survival ~51.6% -> 48% (ACS/SEER); 1y ~75%,high
Diabetes,1.4,7.0,All-cause ~1.4/100 person-years (T2D-dominant; PMC6079498); ADA life-expectancy cohort,high
HIV-1 infection,1.0,6.0,Treated HIV modern era ~10-16 deaths/1000 PY (PMC4504463; Lancet HIV 2023); near-normal life expectancy on ART,high
Alzheimer's Disease,12.0,50.0,Mean survival after AD diagnosis ~5-6 yrs (Alzheimer's Assoc; Lancet Healthy Longevity meta-analysis) -> ~50% 5y,medium
Chronic Lymphocytic Leukemia,3.0,12.0,SEER CLL 5y relative survival ~88% -> 12% (seer.cancer.gov/statfacts/html/clyl.html); 1y ~97%,high
