endpoint_phys,match_keywords,disease_keywords,demand_process,rationale
6mwd_pah,6 minute walk|6-minute walk|six minute walk|6mwd|exercise capacity|distance walked,"pulmonary arterial hypertension|pulmonary hypertension|hypertension, pulmonary|\bpah\b|portopulmonary|pulmonary vascular disease|thromboembolic pulmonary",pulmonary_vascular_tone,"In PAH the 6MWD is rate-limited by pulmonary vascular resistance; vasodilators (endothelin/PDE5/prostacyclin) improve it."
6mwd_hf,6 minute walk|6-minute walk|six minute walk|6mwd|exercise capacity|distance walked,heart failure|cardiomyopathy|hfref|hfpef|ejection fraction,cardiac_contractile_function;skeletal_muscle_oxidative_capacity,"In HF the 6MWD is gated by cardiac output reserve + muscle oxidative capacity, NOT by volume/renal handling alone (EMPERIAL)."
6mwd_ild,6 minute walk|6-minute walk|six minute walk|6mwd|exercise capacity,fibrosis|interstitial lung|\bild\b|scleroderma|\bipf\b,fibrosis_progression;pulmonary_gas_exchange,"In fibrotic ILD exercise is limited by gas-exchange surface loss from fibrosis."
6mwd_generic,6 minute walk|6-minute walk|six minute walk|6mwd|exercise capacity|distance walked,,cardiac_contractile_function;skeletal_muscle_oxidative_capacity;pulmonary_gas_exchange,"Integrative aerobic output; default demand when disease context is non-specific."
fev1_cf,fev1|forced expiratory|lung function|ppfev1,cystic fibrosis,airway_epithelial_ion_transport,"CF lung function (ppFEV1) is gated by CFTR-mediated airway-surface ion/fluid transport."
fev1_obstructive,fev1|forced expiratory|peak expiratory|peak flow|lung function|spiromet,copd|asthma|chronic obstructive|bronchiectasis|bronchospasm,airway_smooth_muscle_tone;airway_inflammation,"Obstructive FEV1 is gated by airway smooth-muscle tone (bronchodilation) and airway inflammation."
fvc_restrictive,forced vital capacity|\bfvc\b|vital capacity,fibrosis|interstitial|\bild\b|scleroderma|\bipf\b|systemic sclerosis,fibrosis_progression;pulmonary_gas_exchange,"FVC decline in fibrotic ILD is gated by lung fibrosis progression restricting gas-exchange surface."
cardiac_function,ejection fraction|ventricular function|cardiac output|fractional shortening|filling pressure|probnp|\bbnp\b|ventricular strain,,cardiac_contractile_function,"EF/BNP/strain reflect myocardial contractile function and wall stress."
pulm_vascular,pulmonary vascular resist|\bpvr\b|mean pulmonary arterial pressure,,pulmonary_vascular_tone,"PVR/mPAP are direct readouts of pulmonary vascular tone."
cardiac_energetics_pcr_atp,pcr/atp|pcr atp|high-energy phosphate|31p|magnetic resonance spectroscopy,,cardiac_energetics,"Myocardial PCr/ATP measures high-energy phosphate metabolism in cardiomyocytes."
hcm_obstruction,left ventricular outflow|\blvot\b|valsalva|outflow tract gradient,hypertrophic cardiomyopathy|\bhcm\b|obstructive cardiomyo,sarcomere_contractility,"HCM outflow obstruction is gated by sarcomere hypercontractility (myosin)."
lv_thrombus,left ventricular thrombus|thrombus resolution|ventricular thrombus,,coagulation,"LV thrombus resolution is gated by the coagulation cascade (anticoagulation)."
adpkd_cyst,total kidney volume|httkv|kidney volume|cyst,polycystic|\badpkd\b,vasopressin_cystogenesis,"ADPKD total-kidney-volume growth is driven by vasopressin-cAMP cystogenesis (validated tolvaptan target)."
renal_plasma_flow,renal plasma flow|\brpf\b,,renal_hemodynamics,"Renal plasma flow is a renal-hemodynamic readout (RAAS/vasoactive)."
bladder_capacity,cystometric|bladder capacity|detrusor|maximum cystometric,,bladder_smooth_muscle_tone,"Bladder capacity is gated by detrusor smooth-muscle tone."
intraocular_pressure,intraocular pressure|\biop\b|aqueous,,aqueous_humor_production;aqueous_humor_outflow,"IOP is set by the balance of aqueous-humour production and outflow."
organ_failure_sofa,sofa score|sequential organ failure|organ failure score,,systemic_inflammation;hemodynamic_perfusion,"SOFA tracks multi-organ dysfunction driven by systemic inflammation and hemodynamic perfusion (inotrope/pressor support)."
copd_asthma_exacerbation,exacerbation,copd|chronic obstructive|asthma|bronchiectasis|bronchospasm,airway_smooth_muscle_tone;airway_inflammation,"COPD/asthma exacerbation rate is gated by airway smooth-muscle tone (bronchodilation) and airway inflammation; cardiac/metabolic drugs do not move it."
headache_frequency,headache day|headache frequency|migraine day|monthly headache,,trigeminovascular_headache,"Headache frequency reflects trigeminovascular/CGRP migraine pathophysiology."
movement_pain,pain on movement|procedural pain|movement-evoked,,nociception,"Movement-evoked pain reflects peripheral/central nociceptive signalling."
pain_scale,pain intensity|pain score|pain relief|\bnrs\b|\bvas\b|numeric rating|visual analog|analges|womac|brief pain|opioid consumption|morphine,,nociception,"Pain-intensity endpoints are gated by nociceptive signalling."
nausea_emesis,nausea|vomiting|emesis|\bcinv\b|\bponv\b|antiemetic,,emesis_signaling,"Nausea/vomiting endpoints reflect the emetic reflex (5-HT3/D2/area postrema)."
gastric_acid,heartburn|acid reflux|\bgerd\b|gastroesophageal reflux|esophagitis|gastric ulcer|dyspepsia,,gastric_acid_secretion,"Reflux/acid endpoints are gated by gastric acid secretion (proton pump)."
gi_secretion_motility,spontaneous bowel|bowel movement|stool frequency|constipation|intestinal transit,,intestinal_fluid_secretion;gi_motility,"Bowel-movement/constipation endpoints are gated by luminal fluid secretion and motility."
urine_osmolality,urine osmolality|urine concentration|aquaresis,,urine_concentration,"Spot urine osmolality is the direct readout of collecting-duct water reabsorption (V2 axis)."
bowel_movement_frequency,spontaneous bowel movement|bowel movement|stool frequency,,intestinal_fluid_secretion;gi_motility,"Bowel-movement frequency is driven by luminal fluid secretion and resulting motility."
urinary_retention_catheter,catheteriz|urinary retention|voiding,,bladder_smooth_muscle_tone,"Post-op urinary retention is gated by bladder-outlet/prostatic smooth-muscle tone."
psychosis_panss,panss|positive and negative syndrome,,dopaminergic_neurotransmission,"PANSS psychosis severity is driven by postsynaptic dopaminergic (D2) signalling."
