drug,indication,verdict,confidence,rationale,source
gemcitabine,Nasopharyngeal Carcinoma,EXCLUDE,high,gem+cis NCCN 1L NPC; also chemo backbone,onclive NCCN NPC
colchicine,Cardiovascular Diseases,EXCLUDE,high,LODOCO FDA-approved 2023; AHA/ACC IIb,drugs.com/history/lodoco
venetoclax,"Leukemia, Myeloid, Acute",EXCLUDE,high,FDA-approved AML 2020; also backbone,fda venetoclax AML
metoprolol,"Muscular Dystrophy, Duchenne",KEEP,med,SOC only for DMD cardiomyopathy not disease; no FDA,OJRD DMD
Dexmedetomidine,Traumatic Brain Injury,KEEP,high,approved sedation only; TBI investigational,ctgov NCT01007773
nitazoxanide,COVID 19,KEEP,high,antiparasitic only; no COVID approval,Lancet eClinMed
metformin,Autosomal Dominant Polycystic Kidney Disease,KEEP,high,TAME-PKD early-phase; tolvaptan approved,Kidney Int TAME-PKD
baricitinib,Myelodysplastic Syndromes,KEEP,high,no MDS approval/SOC,PMC10281621
empagliflozin,Cardiovascular Diseases,EXCLUDE,high,FDA-approved HF/CV,BI Jardiance HFrEF
midodrine,heart failure with reduced ejection fraction,KEEP,high,approved OH only; HFrEF off-label,PMC10953504
ritonavir,COVID-19,KEEP,med,only Paxlovid combo approved not ritonavir alone,FDA Paxlovid
upadacitinib,Systemic Lupus Erythematosus,KEEP,high,not approved SLE; Ph3 ongoing,ctgov NCT05843643
venetoclax,Myelodysplastic Syndromes,KEEP,high,VERONA Ph3 MISSED OS Jun2025; FAIL is correct,AbbVie VERONA
esketamine,Endometriosis,KEEP,high,approved TRD only; endometriosis RCT,ctgov NCT06161805
ruxolitinib,primary myelofibrosis,EXCLUDE,high,FDA-approved 2011 myelofibrosis,Incyte Jakafi MF
sunitinib,Metastatic Cancer,KEEP-AMBIG,low,vague indication string,FDA sunitinib label
minocycline,intracerebral hemorrhage,KEEP,high,investigational; small trials only,Stroke AHA
selinexor,Endometrial Cancer,KEEP,high,approved MM/DLBCL only; EC Ph3,Karyopharm EC
capecitabine,Nasopharyngeal Carcinoma,EXCLUDE,high,NCCN H&N 2025 metronomic capecitabine NPC,JNCCN NPC
clopidogrel,Systemic Sclerosis,KEEP,high,proof-of-concept only; no SSc approval,PMC4869184
fenofibrate,Diabetic Retinopathy,KEEP,med,NOT FDA-approved for DR; ADA rec is conditional/recent; clean single-agent prevention RCT (NCT04661358 fenofibrate vs placebo) = genuine forward bet,ADA Standards Care
minocycline,Stroke,KEEP,high,only tPA/thrombectomy SOC,PMC3169090
cilostazol,Stroke,KEEP,high,PAD label only; not Western stroke guideline,Stroke AHA cilostazol
baricitinib,Acute Lymphoblastic Leukemia,KEEP,high,no ALL approval,baricitinib label
trametinib,Cancer,KEEP-AMBIG,low,vague indication string,FDA trametinib label
olaparib,Endometrial Cancer,KEEP,high,no FDA approval EC as of Jun2026,JCO DUO-E
