drug,indication,corroboration_level,evidence
ABX464,asthma,preclinical_literature,"No ABX464/obefazimod trial in asthma exists (its clinical program is UC, Crohn's, RA, COVID-19); but miR-124-3p — the exact effector obefazimod upregulates — suppresses allergic airway inflammation, eosinophilia and IL-4/IL-13 in the ovalbumin asthma mouse model (Liu 2023, Immun Inflamm Dis, PMC9896513), and asthma is a Th2 inflammatory disease in obefazimod's anti-inflammatory wheelhouse. The target NCBP1/NCBP2 (nuclear cap-binding complex) is a housekeeping RNA-processing complex, not a druggable class with competing asthma programs, so no target_class precedent applies."
ABX464,hypertrophic cardiomyopathy,none,"No ABX464 trial in HCM, and the mechanism points the wrong way: miR-124 (which obefazimod UPREGULATES) is INCREASED in failing hearts and its overexpression AGGRAVATES cardiac hypertrophy/dysfunction by suppressing CD151-facilitated angiogenesis (Hua 2018, PMC5865677). HCM is a sarcomeric-contractility disease whose clinical pipeline is myosin inhibitors (mavacamten, aficamten), mechanistically unrelated to the cap-binding complex/miR-124 — the nomination appears to be a spurious genetic-ontology roll-up artifact."
AFQ056,major depressive disorder,target_class_trial,"Basimglurant (RG7090/RO4917523), a different mGluR5 negative allosteric modulator, was tested as adjunctive therapy for MDD in a 333-patient Phase IIb randomized trial (JAMA Psychiatry 2016, PMID 27304433); AZD2066, another mGluR5 NAM, was also trialed in MDD. AFQ056 itself was not confirmed in a registered MDD trial (its registry programs were fragile X, L-dopa dyskinesia, Huntington chorea, OCD, smoking), though one secondary source states it 'failed proof of concept studies in depression.'"
AFQ056,mental or behavioural disorder,direct_trial,"AFQ056/mavoglurant was directly tested in registered clinical trials for behavioural/psychiatric disorders including obsessive-compulsive disorder (Phase II) and fragile X syndrome behavioural symptoms (Phase IIb/III, e.g. NCT01348087, NCT00718341), placing this drug squarely within the 'mental or behavioural disorder' rollup."
AFQ056,melanoma,target_class_trial,"Riluzole, an antagonist of metabotropic glutamate receptor signaling (GRM1), reached a Phase II trial in advanced melanoma (Mehnert 2018, PMC6013351); additionally GRM5/mGluR5 ectopic expression directly induces melanoma in transgenic mice (PNAS 2011, PMID 21896768), and GRM is expressed by >60% of human melanomas, giving strong target-class clinical and preclinical precedent."
AFQ056,cutaneous melanoma,target_class_trial,"The transgenic TRP1-mGluR5 melanoma model produces cutaneous (nodular dermal, hyperpigmented skin) tumors (PNAS 2011, PMID 21896768), and the riluzole Phase II melanoma trial (PMC6013351) enrolled patients with advanced cutaneous melanoma, providing class-level clinical precedent for the GRM5 target in cutaneous melanoma."
AFQ056,retinal detachment,preclinical_literature,"mGluR5 is expressed in both retinal plexiform layers and ON-bipolar/photoreceptor pathways, and suppressing mGluR5 over-activation improved retinal function in RCS rats (a retinal degeneration model; PMID 28615682). No clinical trial of AFQ056 or any mGluR5 modulator exists for retinal detachment specifically; evidence is mechanistic/preclinical only."
AZD2014,cancer,direct_trial,"AZD2014 (vistusertib) has multiple registered oncology trials, including a Phase II in TSC1/2-mutant solid cancers (NCT03166176) and a Phase II in RICTOR-amplified solid cancers (NCT03166904); the entire clinical program is in cancer."
AZD2014,urinary system disease,direct_trial,"This broad ontology roll-up is anchored by a real clinical program: AZD2014 was tested in a randomised Phase 2 study versus everolimus in patients with VEGF-refractory metastatic clear cell renal (kidney) cancer (PubMed 26364551), a urinary-system malignancy."
AZD2014,kidney cancer,direct_trial,"A randomised Phase 2 study compared AZD2014 (50 mg BID) versus everolimus in patients with VEGF-refractory metastatic clear cell renal cancer (Powles et al., PubMed 26364551); AZD2014 PFS/OS were inferior to everolimus, but a direct kidney-cancer trial exists."
AZD2014,renal cell carcinoma,direct_trial,AZD2014 was directly trialed in renal cell carcinoma: a randomised Phase 2 study of AZD2014 versus everolimus in VEGF-refractory metastatic clear cell renal cell cancer (PubMed 26364551).
AZD2014,rheumatoid arthritis,target_class_trial,"No AZD2014 trial in RA was found, but same-target (mTOR) inhibitors are in clinical trials for RA: a randomized open-label low-dose sirolimus trial in active RA (PMC6874993) and an everolimus + methotrexate randomized placebo-controlled RA trial."
AZD5363,schizophrenia,preclinical_literature,"AKT1 is an established schizophrenia susceptibility gene (DRD2-AKT1-GSK3beta is the pathway downstream of antipsychotics; Akt1-deficient mouse models show schizophrenia-like deficits, JCI 2008 / PNAS 2007), but no AKT inhibitor is in clinical trials for schizophrenia. Therapeutic direction is inverted: antipsychotics/lithium restore AKT1 signaling, whereas AKT inhibitors like capivasertib (M2698 trial) caused psychiatric adverse events in ~29% of patients, so the genetic link supports the target-disease connection only at the preclinical/mechanistic level."
AZD5363,obesity,preclinical_literature,"PI3K/AKT is a central insulin/adipogenesis pathway and Akt3-knockout mice are protected from diet-induced obesity (PMC5752373), but no AKT inhibitor (or any AKT-targeting drug) has reached clinical trials for obesity; reviews note 'no target drug based on Akt has been developed.' Link is preclinical/mechanistic only, with inverted direction (AKT inhibition impairs metabolic insulin signaling)."
AZD5363,type 2 diabetes mellitus,preclinical_literature,"Human AKT2 loss-of-function mutations cause severe insulin resistance and diabetes (Science 2004, NCT none), establishing a strong genetic target-disease link, but this is evidence AGAINST capivasertib treating it: the AKT inhibitor capivasertib (Truqap) itself causes hyperglycemia in 37% of patients and can trigger diabetic ketoacidosis (FDA label). No AKT-inhibitor trial exists for diabetes; link is genetic/preclinical with inverted therapeutic direction."
AZD5363,diabetes mellitus,preclinical_literature,"Same AKT2 genetics as type 2 diabetes (loss-of-function AKT2 mutation -> insulin resistance and diabetes, Science 2004). No AKT-inhibitor clinical program for diabetes; capivasertib induces hyperglycemia/DKA (FDA Truqap label, ~37% increased fasting glucose), so the genetic association links target to disease at the preclinical level but the inhibitor worsens rather than treats it."
